Id;Name;AccountClassNumber;AccountClassName;AccountGroupNumber;AccountGroupName;Standard
1010;Utvecklingsutgifter;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1011;Balanserade utgifter för forskning och utveckling;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1012;Balanserade utgifter för programvaror;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1018;Ackumulerade nedskrivningar på balanserade utgifter;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1019;Ackumulerade avskrivningar på balanserade utgifter;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1020;Koncessioner m.m.;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1028;Ackumulerade nedskrivningar på koncessioner m.m.;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1029;Ackumulerade avskrivningar på koncessioner m.m.;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1030;Patent;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1038;Ackumulerade nedskrivningar på patent;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1039;Ackumulerade avskrivningar på patent;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1040;Licenser;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1048;Ackumulerade nedskrivningar på licenser;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1049;Ackumulerade avskrivningar på licenser;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1050;Varumärken;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1058;Ackumulerade nedskrivningar på varumärken;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1059;Ackumulerade avskrivningar på varumärken;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1060;Hyresrätter, tomträtter och liknande;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1068;Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1069;Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1070;Goodwill;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1078;Ackumulerade nedskrivningar på goodwill;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1079;Ackumulerade avskrivningar på goodwill;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1080;Förskott för immateriella anläggningstillgångar;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1081;Pågående projekt för immateriella anläggningstillgångar;1;Tillgångar;10;Immateriella anläggningstillgångar;TRUE
1088;Förskott för immateriella anläggningstillgångar;1;Tillgångar;10;Immateriella anläggningstillgångar;FALSE
1110;Byggnader;1;Tillgångar;11;Byggnader och mark;TRUE
1111;Byggnader på egen mark;1;Tillgångar;11;Byggnader och mark;FALSE
1112;Byggnader på annans mark;1;Tillgångar;11;Byggnader och mark;FALSE
1118;Ackumulerade nedskrivningar på byggnader;1;Tillgångar;11;Byggnader och mark;FALSE
1119;Ackumulerade avskrivningar på byggnader;1;Tillgångar;11;Byggnader och mark;TRUE
1120;Förbättringsutgifter på annans fastighet;1;Tillgångar;11;Byggnader och mark;FALSE
1129;Ackumulerade avskrivningar på förbättringsutgifter på annans fastighet;1;Tillgångar;11;Byggnader och mark;FALSE
1130;Mark;1;Tillgångar;11;Byggnader och mark;TRUE
1140;Tomter och obebyggda markområden;1;Tillgångar;11;Byggnader och mark;FALSE
1150;Markanläggningar;1;Tillgångar;11;Byggnader och mark;TRUE
1158;Ackumulerade nedskrivningar på markanläggningar;1;Tillgångar;11;Byggnader och mark;FALSE
1159;Ackumulerade avskrivningar på markanläggningar;1;Tillgångar;11;Byggnader och mark;TRUE
1180;Pågående nyanläggningar och förskott för byggnader och mark;1;Tillgångar;11;Byggnader och mark;FALSE
1181;Pågående ny-, till- och ombyggnad;1;Tillgångar;11;Byggnader och mark;FALSE
